target_species,target_species_c,cospecies_scientific_name,cospecies_family,cospecies_acronym,cospecies_nativity,cospecies_c,cospecies_w,cospecies_physiognomy,cospecies_duration,cospecies_common_name
Symphyotrichum lateriflorum,4,Desmanthus illinoensis,Fabaceae,DESILI,native,3,1,forb,perennial,prairie bundle-flower
Symphyotrichum lateriflorum,4,Desmodium canadense,Fabaceae,DESCAA,native,4,1,forb,perennial,showy tick-trefoil
Symphyotrichum lateriflorum,4,Dianthus armeria,Caryophyllaceae,DIAARM,non-native,0,2,forb,annual,deptford pink
Symphyotrichum lateriflorum,4,Echinacea purpurea,Asteraceae,ECHPUR,native,10,2,forb,perennial,purple conefower
Symphyotrichum lateriflorum,4,Echinochloa crus-galli,Poaceae,ECHCRU,native,0,-1,grass,annual,large barnyard grass
Symphyotrichum lateriflorum,4,Eleocharis obtusa,Cyperaceae,ELEOBT,native,3,-2,sedge,annual,blunt spike-rush
Symphyotrichum lateriflorum,4,Eleocharis palustris,Cyperaceae,ELEERY,native,1,-2,sedge,perennial,common spike-rush
Symphyotrichum lateriflorum,4,Elymus canadensis,Poaceae,ELYCAN,native,4,1,grass,perennial,nodding wild rye
Symphyotrichum lateriflorum,4,Elymus repens,Poaceae,AGRREP,non-native,0,1,grass,perennial,creeping wild rye
Symphyotrichum lateriflorum,4,Elymus virginicus,Poaceae,ELYVIR,native,3,-1,grass,perennial,virginia wild rye
Symphyotrichum lateriflorum,4,Epilobium coloratum,Onagraceae,EPICOL,native,3,-2,forb,perennial,purple-leaf willowherb
Symphyotrichum lateriflorum,4,Equisetum arvense,Equisetaceae,EQUARV,native,0,0,fern,perennial,field horsetail
Symphyotrichum lateriflorum,4,Erigeron annuus,Asteraceae,ERIANN,native,0,1,forb,biennial,eastern daisy fleabane
Symphyotrichum lateriflorum,4,Erigeron canadensis,Asteraceae,ERICAN,native,0,1,forb,annual,canadian horseweed
Symphyotrichum lateriflorum,4,Erigeron strigosus,Asteraceae,ERISTR,native,5,1,forb,annual,prairie fleabane
Symphyotrichum lateriflorum,4,Eryngium yuccifolium,Apiaceae,ERYYUC,native,9,0,forb,perennial,button eryngo
Symphyotrichum lateriflorum,4,Eupatorium altissimum,Asteraceae,EUPALT,native,0,2,forb,perennial,tall boneset
Symphyotrichum lateriflorum,4,Eupatorium perfoliatum,Asteraceae,EUPPER,native,4,-2,forb,perennial,common boneset
Symphyotrichum lateriflorum,4,Euthamia graminifolia,Asteraceae,EUTGRA,native,4,-1,forb,perennial,flat-top goldentop
Symphyotrichum lateriflorum,4,Eutrochium maculatum,Asteraceae,EUPMAC,native,5,-2,forb,perennial,spotted trumpetweed
Symphyotrichum lateriflorum,4,Galeopsis tetrahit,Lamiaceae,GALTET,non-native,0,1,forb,annual,brittle-stem hemp-nettle
Symphyotrichum lateriflorum,4,Galium aparine,Rubiaceae,GALAPA,native,0,1,forb,annual,sticky-willy
Symphyotrichum lateriflorum,4,Geum aleppicum,Rosaceae,GEUALE,native,3,-1,forb,perennial,yellow avens
Symphyotrichum lateriflorum,4,Geum laciniatum,Rosaceae,GEULAC,native,3,-1,forb,perennial,rough avens
Symphyotrichum lateriflorum,4,Geum urbanum,Rosaceae,GEUURB,non-native,0,2,forb,perennial,city avens
Symphyotrichum lateriflorum,4,Geum vernum,Rosaceae,GEUVER,native,3,1,forb,perennial,spring avens
Symphyotrichum lateriflorum,4,Glechoma hederacea,Lamiaceae,GLEHED,non-native,0,1,forb,perennial,groundivy
Symphyotrichum lateriflorum,4,Glyceria striata,Poaceae,GLYSTR,native,4,-2,grass,perennial,fowl manna grass
Symphyotrichum lateriflorum,4,Helenium autumnale,Asteraceae,HELAUT,native,5,-1,forb,perennial,fall sneezeweed
Symphyotrichum lateriflorum,4,Helianthus grosseserratus,Asteraceae,HELGRO,native,4,-1,forb,perennial,saw-tooth sunflower
Symphyotrichum lateriflorum,4,Heliopsis helianthoides,Asteraceae,HELHEL,native,7,1,forb,perennial,smooth oxeye
Symphyotrichum lateriflorum,4,Hemerocallis fulva,Liliaceae,HEMFUL,non-native,0,2,forb,perennial,orange day-lily
Symphyotrichum lateriflorum,4,Hordeum jubatum,Poaceae,HORJUB,native,0,0,grass,perennial,fox-tail barley
Symphyotrichum lateriflorum,4,Iris virginica var. shrevei,Iridaceae,IRIVIR,native,5,-2,forb,perennial,virginia blueflag
Symphyotrichum lateriflorum,4,Juncus dudleyi,Juncaceae,JUNDUD,native,2,-1,forb,perennial,dudleys rush
Symphyotrichum lateriflorum,4,Lactuca serriola,Asteraceae,LACSER,non-native,0,1,forb,biennial,prickly lettuce
Symphyotrichum lateriflorum,4,Lamium amplexicaule,Lamiaceae,LAMAMP,non-native,0,2,forb,annual,henbit
Symphyotrichum lateriflorum,4,Lamium maculatum,Lamiaceae,LAMMAC,non-native,0,2,forb,perennial,spotted dead nettle
Symphyotrichum lateriflorum,4,Leersia oryzoides,Poaceae,LEEORY,native,3,-2,grass,perennial,rice cut grass
Symphyotrichum lateriflorum,4,Leonurus cardiaca,Lamiaceae,LEOCAR,non-native,0,2,forb,perennial,motherwort
Symphyotrichum lateriflorum,4,Leucanthemum vulgare,Asteraceae,CHRLEU,non-native,0,2,forb,perennial,ox-eye daisy
Symphyotrichum lateriflorum,4,Lobelia siphilitica,Campanulaceae,LOBSIP,native,4,-2,forb,perennial,great blue lobelia
Symphyotrichum lateriflorum,4,Lolium perenne,Poaceae,LOLPER,non-native,0,1,grass,perennial,perennial rye grass
Symphyotrichum lateriflorum,4,Lonicera maackii,Caprifoliaceae,LONMAA,non-native,0,2,shrub,perennial,amur honeysuckle
Symphyotrichum lateriflorum,4,Lycopus americanus,Lamiaceae,LYCAME,native,4,-2,forb,perennial,cut-leaf water-horehound
Symphyotrichum lateriflorum,4,Lythrum salicaria,Lythraceae,LYTSAL,non-native,0,-2,forb,perennial,purple loosestrife
Symphyotrichum lateriflorum,4,Malva neglecta,Malvaceae,MALNEG,non-native,0,2,forb,biennial,common mallow
Symphyotrichum lateriflorum,4,Medicago lupulina,Fabaceae,MEDLUP,non-native,0,1,forb,annual,black medick
Symphyotrichum lateriflorum,4,Melilotus albus,Fabaceae,MELALB,non-native,0,2,forb,biennial,white sweet-clover
Symphyotrichum lateriflorum,4,Melilotus officinalis,Fabaceae,MELLOF,non-native,0,1,forb,biennial,yellow sweet-clover
Symphyotrichum lateriflorum,4,Mentha arvensis,Lamiaceae,MENARV,native,5,-1,forb,perennial,american wild mint
Symphyotrichum lateriflorum,4,Mimulus ringens,Scrophulariaceae,MIMRIN,native,4,-2,forb,perennial,allegheny monkey-flower
Symphyotrichum lateriflorum,4,Monarda fistulosa,Lamiaceae,MONFIS,native,4,1,forb,perennial,oswego-tea
Symphyotrichum lateriflorum,4,Morus alba,Moraceae,MORALB,non-native,0,0,tree,perennial,white mulberry
Symphyotrichum lateriflorum,4,Nepeta cataria,Lamiaceae,NEPCAT,non-native,0,1,forb,perennial,catnip
Symphyotrichum lateriflorum,4,Oenothera biennis,Onagraceae,OENBIE,native,0,1,forb,biennial,kings-cureall
Symphyotrichum lateriflorum,4,Osmorhiza longistylis,Apiaceae,OSMLON,native,5,1,forb,perennial,aniseroot
Symphyotrichum lateriflorum,4,Oxalis stricta,Oxalidaceae,OXAEUR,native,0,1,forb,perennial,upright yellow wood-sorrel
Symphyotrichum lateriflorum,4,Panicum virgatum,Poaceae,PANVIR,native,3,0,grass,perennial,wand panic grass
Symphyotrichum lateriflorum,4,Pastinaca sativa,Apiaceae,PASSAT,non-native,0,2,forb,biennial,parsnip
Symphyotrichum lateriflorum,4,Pennisetum alopecuroides,Poaceae,PENALO,non-native,0,2,grass,perennial,foxtail fountain grass
Symphyotrichum lateriflorum,4,Penstemon digitalis,Scrophulariaceae,PENDIG,native,4,0,forb,perennial,foxglove beardtongue
Symphyotrichum lateriflorum,4,Persicaria amphibia,Polygonaceae,PERAMP,native,4,-2,forb,perennial,water smartweed
Symphyotrichum lateriflorum,4,Persicaria maculosa,Polygonaceae,PERMAC,non-native,0,-1,forb,annual,ladys-thumb
Symphyotrichum lateriflorum,4,Persicaria pensylvanica,Polygonaceae,PERPEN,native,0,-1,forb,annual,pinkweed
Symphyotrichum lateriflorum,4,Phalaris arundinacea,Poaceae,PHAARU,non-native,0,-1,grass,perennial,reed canary grass
Symphyotrichum lateriflorum,4,Phleum pratense,Poaceae,PHLPRA,non-native,0,1,grass,perennial,common timothy
Symphyotrichum lateriflorum,4,Phragmites australis cult. variegatus,Poaceae,PHRAUSV,non-native,0,2,grass,perennial,striped common reed
Symphyotrichum lateriflorum,4,Pilea pumila,Urticaceae,PILPUM,native,2,-1,forb,annual,canadian clearweed
Symphyotrichum lateriflorum,4,Pinus strobus,Pinaceae,PINSTR,native,10,1,tree,perennial,eastern white pine
Symphyotrichum lateriflorum,4,Plantago lanceolata,Plantaginaceae,PLALAN,non-native,0,1,forb,perennial,english plantain
Symphyotrichum lateriflorum,4,Plantago major,Plantaginaceae,PLAMAJ,non-native,0,0,forb,perennial,great plantain
Symphyotrichum lateriflorum,4,Poa pratensis,Poaceae,POAPRA,non-native,0,0,grass,perennial,kentucky blue grass
Symphyotrichum lateriflorum,4,Pontederia cordata,Pontederiaceae,PONCOR,native,9,-2,forb,perennial,pickerelweed
Symphyotrichum lateriflorum,4,Potentilla indica,Rosaceae,DUCIND,non-native,0,1,forb,perennial,indian-strawberry
Symphyotrichum lateriflorum,4,Pycnanthemum virginianum,Lamiaceae,PYCVIR,native,5,-1,forb,perennial,virginia mountain-mint
Symphyotrichum lateriflorum,4,Pyrus calleryana,Rosaceae,PYRCAL,non-native,0,2,tree,perennial,ornamental pear
Symphyotrichum lateriflorum,4,Ranunculus sceleratus,Ranunculaceae,RANSCE,native,4,-2,forb,annual,cursed buttercup
Symphyotrichum lateriflorum,4,Ratibida pinnata,Asteraceae,RATPIN,native,4,2,forb,perennial,yellow coneflower
Symphyotrichum lateriflorum,4,Rhamnus cathartica,Rhamnaceae,RHACAT,non-native,0,0,shrub,perennial,european buckthorn
Symphyotrichum lateriflorum,4,Rubus idaeus ssp. strigosus,Rosaceae,RUBIDAS,native,3,1,shrub,perennial,common red raspberry
Symphyotrichum lateriflorum,4,Rudbeckia hirta,Asteraceae,RUDHIR,native,1,1,forb,perennial,black-eyed-susan
Symphyotrichum lateriflorum,4,Rumex crispus,Polygonaceae,RUMCRI,non-native,0,0,forb,perennial,curly dock
Symphyotrichum lateriflorum,4,Sagittaria latifolia,Alismataceae,SAGLAT,native,3,-2,forb,perennial,duck-potato
Symphyotrichum lateriflorum,4,Salix amygdaloides,Salicaceae,SALAMY,native,4,-1,tree,perennial,peach-leaf willow
Symphyotrichum lateriflorum,4,Salix interior,Salicaceae,SALINT,native,2,-1,shrub,perennial,sandbar willow
Symphyotrichum lateriflorum,4,Salix nigra,Salicaceae,SALNIG,native,5,-2,tree,perennial,black willow
Symphyotrichum lateriflorum,4,Sambucus nigra ssp. canadensis,Caprifoliaceae,SAMCAN,native,4,-1,shrub,perennial,black elder
Symphyotrichum lateriflorum,4,Schoenoplectus fluviatilis,Cyperaceae,SCHFLU,native,4,-2,sedge,perennial,river club-rush
Symphyotrichum lateriflorum,4,Schoenoplectus pungens,Cyperaceae,SCHPUN,native,4,-2,sedge,perennial,three-square
Symphyotrichum lateriflorum,4,Schoenoplectus tabernaemontani,Cyperaceae,SCHTAB,native,3,-2,sedge,perennial,soft-stem club-rush
Symphyotrichum lateriflorum,4,Scirpus atrovirens,Cyperaceae,SCIATV,native,4,-2,sedge,perennial,dark-green bulrush
Symphyotrichum lateriflorum,4,Silene latifolia,Caryophyllaceae,LYCALB,non-native,0,2,forb,annual,white campion
Symphyotrichum lateriflorum,4,Silene vulgaris,Caryophyllaceae,SILCUC,non-native,0,2,forb,perennial,bladder catchfly
Symphyotrichum lateriflorum,4,Silphium integrifolium,Asteraceae,SILINT,native,5,2,forb,perennial,entire-leaf rosinweed
Symphyotrichum lateriflorum,4,Silphium laciniatum,Asteraceae,SILLAC,native,5,2,forb,perennial,compass-plant
Symphyotrichum lateriflorum,4,Silphium terebinthinaceum,Asteraceae,SILTER,native,5,0,forb,perennial,prairie dock
Symphyotrichum lateriflorum,4,Solanum dulcamara,Solanaceae,SOLDUL,non-native,0,0,vine,perennial,climbing nightshade
Symphyotrichum lateriflorum,4,Solidago canadensis,Asteraceae,SOLCAN,native,1,1,forb,perennial,canadian goldenrod
Symphyotrichum lateriflorum,4,Solidago rigida,Asteraceae,SOLRIG,native,3,1,forb,perennial,hard-leaf flat-top-goldenrod
Symphyotrichum lateriflorum,4,Sonchus arvensis,Asteraceae,SONARV,non-native,0,1,forb,perennial,field sow-thistle
Symphyotrichum lateriflorum,4,Sorghastrum nutans,Poaceae,SORNUT,native,5,1,grass,perennial,yellow indian grass
Symphyotrichum lateriflorum,4,Sorghum halepense,Poaceae,SORHAL,non-native,0,1,grass,perennial,johnson grass
Symphyotrichum lateriflorum,4,Symphyotrichum laeve,Asteraceae,ASTLAE,native,9,1,forb,perennial,smooth blue american-aster
Symphyotrichum lateriflorum,4,Symphyotrichum lanceolatum,Asteraceae,ASTSIM,native,3,0,forb,perennial,white panicled american-aster
Symphyotrichum lateriflorum,4,Symphyotrichum novae-angliae,Asteraceae,ASTNOV,native,3,-1,forb,perennial,new england american-aster
Symphyotrichum lateriflorum,4,Symphyotrichum oolentangiense,Asteraceae,ASTAZU,native,8,2,forb,perennial,azure aster
Symphyotrichum lateriflorum,4,Symphyotrichum pilosum,Asteraceae,ASTPIL,native,0,1,forb,perennial,white oldfield american-aster
Symphyotrichum lateriflorum,4,Symphyotrichum praealtum,Asteraceae,ASTPRA,native,7,-1,forb,perennial,willow-leaf american-aster
Symphyotrichum lateriflorum,4,Symphyotrichum puniceum,Asteraceae,ASTPUN,native,8,-2,forb,perennial,purple-stem american-aster
Symphyotrichum lateriflorum,4,Taraxacum officinale,Asteraceae,TAROFF,non-native,0,1,forb,perennial,common dandelion
Symphyotrichum lateriflorum,4,Thlaspi arvense,Brassicaceae,THLARV,non-native,0,1,forb,annual,field pennycress
Symphyotrichum lateriflorum,4,Tradescantia ohiensis,Commelinaceae,TRAOHI,native,3,1,forb,perennial,bluejacket
Symphyotrichum lateriflorum,4,Trifolium arvense,Fabaceae,TRIARV,non-native,0,2,forb,annual,rabbit-foot clover
Symphyotrichum lateriflorum,4,Trifolium hybridum,Fabaceae,TRIHYB,non-native,0,1,forb,perennial,alsike clover
Symphyotrichum lateriflorum,4,Trifolium pratense,Fabaceae,TRIPRA,non-native,0,1,forb,perennial,red clover
Symphyotrichum lateriflorum,4,Trifolium repens,Fabaceae,TRIREP,non-native,0,1,forb,perennial,white clover
Symphyotrichum lateriflorum,4,Typha angustifolia,Typhaceae,TYPANG,non-native,0,-2,forb,perennial,narrow-leaf cat-tail
Symphyotrichum lateriflorum,4,Typha latifolia,Typhaceae,TYPLAT,native,5,-2,forb,perennial,broad-leaf cat-tail
Symphyotrichum lateriflorum,4,Typha x glauca,Typhaceae,TYPGLA,non-native,0,-2,forb,perennial,hybrid cat-tail
Symphyotrichum lateriflorum,4,Verbena hastata,Verbenaceae,VERHAS,native,4,-1,forb,perennial,simplers-joy
Symphyotrichum lateriflorum,4,Verbena urticifolia,Verbenaceae,VERURT,native,2,0,forb,perennial,white vervain
Symphyotrichum lateriflorum,4,Vernonia fasciculata,Asteraceae,VERFAS,native,8,-1,forb,perennial,prairie ironweed
Symphyotrichum lateriflorum,4,Veronicastrum virginicum,Scrophulariaceae,VERVIR,native,8,0,forb,perennial,culvers-root
Symphyotrichum lateriflorum,4,Vicia americana,Fabaceae,VICAME,native,4,1,forb,perennial,american purple vetch
Symphyotrichum lateriflorum,4,Zizia aurea,Apiaceae,ZIZAUR,native,5,0,forb,perennial,golden alexanders
Symphyotrichum lateriflorum,4,Acalypha rhomboidea,Euphorbiaceae,ACARHO,native,0,1,forb,annual,common three-seed-mercury
Symphyotrichum lateriflorum,4,Achillea millefolium,Asteraceae,ACHMIL,non-native,0,1,forb,perennial,common yarrow
Symphyotrichum lateriflorum,4,Acorus americanus,Acoraceae,ACOAME,native,9,-2,forb,perennial,several-vein sweetflag
Symphyotrichum lateriflorum,4,Agrostis gigantea,Poaceae,AGRALB,non-native,0,-1,grass,perennial,black bent
Symphyotrichum lateriflorum,4,Alisma subcordatum,Alismataceae,ALISUB,native,3,-2,forb,perennial,american water-plantain
Symphyotrichum lateriflorum,4,Allium cernuum,Liliaceae,ALLCER,native,7,1,forb,perennial,nodding onion
Symphyotrichum lateriflorum,4,Amaranthus palmeri,Amaranthaceae,AMAPAL,non-native,0,1,forb,annual,careless weed
Symphyotrichum lateriflorum,4,Ambrosia artemisiifolia,Asteraceae,AMBART,native,0,1,forb,annual,annual ragweed
Symphyotrichum lateriflorum,4,Ambrosia trifida,Asteraceae,AMBTRI,native,0,0,forb,annual,great ragweed
Symphyotrichum lateriflorum,4,Amorpha canescens,Fabaceae,AMOCAN,native,10,2,shrub,perennial,leadplant
Symphyotrichum lateriflorum,4,Andropogon gerardii,Poaceae,ANDGER,native,5,0,grass,perennial,big bluestem
Symphyotrichum lateriflorum,4,Apocynum cannabinum,Apocynaceae,APOCAN,native,2,0,forb,perennial,indian-hemp
Symphyotrichum lateriflorum,4,Arctium minus,Asteraceae,ARCMIN,non-native,0,1,forb,biennial,lesser burrdock
Symphyotrichum lateriflorum,4,Asclepias incarnata,Asclepiadaceae,ASCINC,native,3,-2,forb,perennial,swamp milkweed
Symphyotrichum lateriflorum,4,Asclepias syriaca,Asclepiadaceae,ASCSYR,native,0,1,forb,perennial,common milkweed
Symphyotrichum lateriflorum,4,Asclepias tuberosa,Asclepiadaceae,ASCTUB,native,8,2,forb,perennial,butterfly-weed
Symphyotrichum lateriflorum,4,Astragalus canadensis,Fabaceae,ASTCAN,native,8,0,forb,perennial,canadian milk-vetch
Symphyotrichum lateriflorum,4,Avena sativa,Poaceae,AVESAT,non-native,0,2,grass,annual,oats
Symphyotrichum lateriflorum,4,Baptisia alba var. macrophylla,Fabaceae,BAPALB,native,8,1,forb,perennial,white wild indigo
Symphyotrichum lateriflorum,4,Barbarea vulgaris,Brassicaceae,BARVUL,non-native,0,0,forb,biennial,garden yellow-rocket
Symphyotrichum lateriflorum,4,Bidens cernua,Asteraceae,BIDCER,native,3,-2,forb,annual,nodding burr-marigold
Symphyotrichum lateriflorum,4,Bouteloua curtipendula,Poaceae,BOUCUR,native,8,2,grass,perennial,side-oats grama
Symphyotrichum lateriflorum,4,Cardamine hirsuta,Brassicaceae,CARHIR,non-native,0,1,forb,annual,hairy bittercress
Symphyotrichum lateriflorum,4,Carduus nutans,Asteraceae,CARNUT,non-native,0,1,forb,biennial,nodding plumeless-thistle
Symphyotrichum lateriflorum,4,Carex blanda,Cyperaceae,CXBLAN,native,1,0,sedge,perennial,eastern woodland sedge
Symphyotrichum lateriflorum,4,Carex comosa,Cyperaceae,CXCOMO,native,5,-2,sedge,perennial,bearded sedge
Symphyotrichum lateriflorum,4,Carex cristatella,Cyperaceae,CXCRIS,native,4,-1,sedge,perennial,crested sedge
Symphyotrichum lateriflorum,4,Carex frankii,Cyperaceae,CXFRAN,native,4,-2,sedge,perennial,franks sedge
Symphyotrichum lateriflorum,4,Carex hystericina,Cyperaceae,CXHYST,native,7,-2,sedge,perennial,porcupine sedge
Symphyotrichum lateriflorum,4,Carex pensylvanica,Cyperaceae,CXPENS,native,5,2,sedge,perennial,pennsylvania sedge
Symphyotrichum lateriflorum,4,Carex vulpinoidea,Cyperaceae,CXVULP,native,2,-1,sedge,perennial,common fox sedge
Symphyotrichum lateriflorum,4,Chamaecrista fasciculata,Fabaceae,CASFAS,native,4,1,forb,annual,sleepingplant
Symphyotrichum lateriflorum,4,Chamaesyce maculata,Euphorbiaceae,CHAMAC,native,0,1,forb,annual,spotted sandmat
Symphyotrichum lateriflorum,4,Cirsium arvense,Asteraceae,CIRARV,non-native,0,1,forb,perennial,canadian thistle
Symphyotrichum lateriflorum,4,Convolvulus arvensis,Convolvulaceae,CONARV,non-native,0,2,forb,perennial,field bindweed
Symphyotrichum lateriflorum,4,Conyza ramosissima,Asteraceae,ERIDIV,native,0,2,forb,annual,dwarf horseweed
Symphyotrichum lateriflorum,4,Coreopsis tripteris,Asteraceae,CORTRI,native,5,0,forb,perennial,tall tickseed
Symphyotrichum lateriflorum,4,Crataegus crus-galli,Rosaceae,CRACRU,native,3,0,tree,perennial,cock-spur hawthorn
Symphyotrichum lateriflorum,4,Cyperus esculentus,Cyperaceae,CYPESC,native,0,-1,sedge,perennial,chufa
Symphyotrichum lateriflorum,4,Dalea purpurea,Fabaceae,DALPUR,native,9,2,forb,perennial,purple prairie-clover
Symphyotrichum lateriflorum,4,Daucus carota,Apiaceae,DAUCAR,non-native,0,2,forb,biennial,queen annes lace
Symphyotrichum lateriflorum,4,Desmanthus illinoensis,Fabaceae,DESILI,native,3,1,forb,perennial,prairie bundle-flower
Symphyotrichum lateriflorum,4,Desmodium canadense,Fabaceae,DESCAA,native,4,1,forb,perennial,showy tick-trefoil
Symphyotrichum lateriflorum,4,Desmodium illinoense,Fabaceae,DESILL,native,9,2,forb,perennial,illinois tick-trefoil
Symphyotrichum lateriflorum,4,Echinacea pallida,Asteraceae,ECHPAL,native,10,2,forb,perennial,pale conefower
Symphyotrichum lateriflorum,4,Echinacea purpurea,Asteraceae,ECHPUR,native,10,2,forb,perennial,purple conefower
Symphyotrichum lateriflorum,4,Echinochloa crus-galli,Poaceae,ECHCRU,native,0,-1,grass,annual,large barnyard grass
Symphyotrichum lateriflorum,4,Eleocharis palustris,Cyperaceae,ELEERY,native,1,-2,sedge,perennial,common spike-rush
Symphyotrichum lateriflorum,4,Elymus canadensis,Poaceae,ELYCAN,native,4,1,grass,perennial,nodding wild rye
Symphyotrichum lateriflorum,4,Elymus virginicus,Poaceae,ELYVIR,native,3,-1,grass,perennial,virginia wild rye
Symphyotrichum lateriflorum,4,Epilobium coloratum,Onagraceae,EPICOL,native,3,-2,forb,perennial,purple-leaf willowherb
Symphyotrichum lateriflorum,4,Equisetum arvense,Equisetaceae,EQUARV,native,0,0,fern,perennial,field horsetail
Symphyotrichum lateriflorum,4,Erigeron annuus,Asteraceae,ERIANN,native,0,1,forb,biennial,eastern daisy fleabane
Symphyotrichum lateriflorum,4,Erigeron strigosus,Asteraceae,ERISTR,native,5,1,forb,annual,prairie fleabane
Symphyotrichum lateriflorum,4,Eryngium yuccifolium,Apiaceae,ERYYUC,native,9,0,forb,perennial,button eryngo
Symphyotrichum lateriflorum,4,Eupatorium altissimum,Asteraceae,EUPALT,native,0,2,forb,perennial,tall boneset
Symphyotrichum lateriflorum,4,Eupatorium perfoliatum,Asteraceae,EUPPER,native,4,-2,forb,perennial,common boneset
Symphyotrichum lateriflorum,4,Euthamia graminifolia,Asteraceae,EUTGRA,native,4,-1,forb,perennial,flat-top goldentop
Symphyotrichum lateriflorum,4,Eutrochium maculatum,Asteraceae,EUPMAC,native,5,-2,forb,perennial,spotted trumpetweed
Symphyotrichum lateriflorum,4,Eutrochium purpureum,Asteraceae,EUPPUR,native,6,0,forb,perennial,sweet-scented joe-pye-weed
Symphyotrichum lateriflorum,4,Galium aparine,Rubiaceae,GALAPA,native,0,1,forb,annual,sticky-willy
Symphyotrichum lateriflorum,4,Gaura biennis,Onagraceae,GAUBIE,native,2,1,forb,biennial,biennial beeblossom
Symphyotrichum lateriflorum,4,Geum aleppicum,Rosaceae,GEUALE,native,3,-1,forb,perennial,yellow avens
Symphyotrichum lateriflorum,4,Geum laciniatum,Rosaceae,GEULAC,native,3,-1,forb,perennial,rough avens
Symphyotrichum lateriflorum,4,Geum vernum,Rosaceae,GEUVER,native,3,1,forb,perennial,spring avens
Symphyotrichum lateriflorum,4,Hackelia virginiana,Boraginaceae,HACVIR,native,1,1,forb,perennial,beggars-lice
Symphyotrichum lateriflorum,4,Helianthus annuus,Asteraceae,HELANN,non-native,0,1,forb,annual,common sunflower
Symphyotrichum lateriflorum,4,Helianthus grosseserratus,Asteraceae,HELGRO,native,4,-1,forb,perennial,saw-tooth sunflower
Symphyotrichum lateriflorum,4,Heliopsis helianthoides,Asteraceae,HELHEL,native,7,1,forb,perennial,smooth oxeye
Symphyotrichum lateriflorum,4,Hordeum jubatum,Poaceae,HORJUB,native,0,0,grass,perennial,fox-tail barley
Symphyotrichum lateriflorum,4,Iris virginica var. shrevei,Iridaceae,IRIVIR,native,5,-2,forb,perennial,virginia blueflag
Symphyotrichum lateriflorum,4,Juncus dudleyi,Juncaceae,JUNDUD,native,2,-1,forb,perennial,dudleys rush
Symphyotrichum lateriflorum,4,Juncus effusus ssp. solutus,Juncaceae,JUNEFF,native,5,-2,forb,perennial,lamp rush
Symphyotrichum lateriflorum,4,Juncus tenuis,Juncaceae,JUNTEN,native,0,0,forb,perennial,lesser poverty rush
Symphyotrichum lateriflorum,4,Juncus torreyi,Juncaceae,JUNTOR,native,2,-1,forb,perennial,torreys rush
Symphyotrichum lateriflorum,4,Lactuca serriola,Asteraceae,LACSER,non-native,0,1,forb,biennial,prickly lettuce
Symphyotrichum lateriflorum,4,Leersia oryzoides,Poaceae,LEEORY,native,3,-2,grass,perennial,rice cut grass
Symphyotrichum lateriflorum,4,Leucanthemum vulgare,Asteraceae,CHRLEU,non-native,0,2,forb,perennial,ox-eye daisy
Symphyotrichum lateriflorum,4,Lobelia siphilitica,Campanulaceae,LOBSIP,native,4,-2,forb,perennial,great blue lobelia
Symphyotrichum lateriflorum,4,Lonicera maackii,Caprifoliaceae,LONMAA,non-native,0,2,shrub,perennial,amur honeysuckle
Symphyotrichum lateriflorum,4,Lotus corniculatus,Fabaceae,LOTCOR,non-native,0,1,forb,perennial,garden birds-foot-trefoil
Symphyotrichum lateriflorum,4,Lythrum salicaria,Lythraceae,LYTSAL,non-native,0,-2,forb,perennial,purple loosestrife
Symphyotrichum lateriflorum,4,Melilotus albus,Fabaceae,MELALB,non-native,0,2,forb,biennial,white sweet-clover
Symphyotrichum lateriflorum,4,Melilotus officinalis,Fabaceae,MELLOF,non-native,0,1,forb,biennial,yellow sweet-clover
Symphyotrichum lateriflorum,4,Mimulus ringens,Scrophulariaceae,MIMRIN,native,4,-2,forb,perennial,allegheny monkey-flower
Symphyotrichum lateriflorum,4,Monarda fistulosa,Lamiaceae,MONFIS,native,4,1,forb,perennial,oswego-tea
Symphyotrichum lateriflorum,4,Morus alba,Moraceae,MORALB,non-native,0,0,tree,perennial,white mulberry
Symphyotrichum lateriflorum,4,Nepeta cataria,Lamiaceae,NEPCAT,non-native,0,1,forb,perennial,catnip
Symphyotrichum lateriflorum,4,Oenothera biennis,Onagraceae,OENBIE,native,0,1,forb,biennial,kings-cureall
Symphyotrichum lateriflorum,4,Oxalis stricta,Oxalidaceae,OXAEUR,native,0,1,forb,perennial,upright yellow wood-sorrel
Symphyotrichum lateriflorum,4,Panicum dichotomiflorum,Poaceae,PANDIC,native,0,-1,grass,annual,fall panic grass
Symphyotrichum lateriflorum,4,Panicum virgatum,Poaceae,PANVIR,native,3,0,grass,perennial,wand panic grass
Symphyotrichum lateriflorum,4,Penstemon digitalis,Scrophulariaceae,PENDIG,native,4,0,forb,perennial,foxglove beardtongue
Symphyotrichum lateriflorum,4,Persicaria hydropiperoides,Polygonaceae,PERHYO,native,6,-2,forb,perennial,swamp smartweed
Symphyotrichum lateriflorum,4,Persicaria pensylvanica,Polygonaceae,PERPEN,native,0,-1,forb,annual,pinkweed
Symphyotrichum lateriflorum,4,Phalaris arundinacea,Poaceae,PHAARU,non-native,0,-1,grass,perennial,reed canary grass
Symphyotrichum lateriflorum,4,Phragmites australis ssp. australis,Poaceae,PHRAUSU,non-native,0,-1,grass,perennial,common reed
